date,close,peg
2020-12-08,1398.73,76.3
2020-12-09,1365.04,74.76
2020-12-10,1360.18,75.27
2020-12-11,1362.96,76.33
2020-12-14,1375.06,81.99
2020-12-15,1363.18,81.53
2020-12-16,1345.13,80.63
2020-12-17,1363.36,81.66
2020-12-18,1361.11,81.41
2020-12-21,1388.67,83.11
2020-12-22,1358.62,81.66
2020-12-23,1376.6,82.75
2020-12-24,1348.01,80.92
2020-12-25,1349.79,81.31
2020-12-28,1339.01,80.62
2020-12-29,1337.47,80.48
2020-12-30,1362.91,81.72
2020-12-31,1393.03,83.99
2021-01-04,1422.12,85.71
2021-01-05,1425.16,85.59
2021-01-06,1415.02,85.04
2021-01-07,1381.94,82.89
2021-01-08,1378.74,82.69
2021-01-11,1390.66,83.8
2021-01-12,1405.22,84.56
2021-01-13,1407.41,84.92
2021-01-14,1447.27,87.02
2021-01-15,1447.58,87.35
2021-01-18,1481.25,89.58
2021-01-19,1443.92,87.02
2021-01-20,1481.45,90.05
2021-01-21,1482.28,90.74
2021-01-22,1486.31,91.84
2021-01-25,1498.6,92.69
2021-01-26,1478.45,90.82
2021-01-27,1458.37,89.14
2021-01-28,1421.59,86.76
2021-01-29,1421.96,87.62
2021-02-01,1421.48,87.26
2021-02-02,1438.06,88.27
2021-02-03,1410.15,87.2
2021-02-04,1394.1,86.26
2021-02-05,1368.8,85.54
2021-02-08,1382.48,85.91
2021-02-09,1427.68,89.53
2021-02-10,1437.02,90.3
2021-02-18,1429.74,89.16
2021-02-19,1427.91,88.62
2021-02-22,1389.92,85.42
2021-02-23,1390.53,86.03
2021-02-24,1365.64,83.78
2021-02-25,1349.71,83.34
2021-02-26,1325.59,81.6
2021-03-01,1358.14,83.15
2021-03-02,1352.04,82.74
2021-03-03,1359.4,83.15
2021-03-04,1324.16,80.62
2021-03-05,1329.84,81.27
2021-03-08,1275.46,77.89
2021-03-09,1230.14,75.27
2021-03-10,1232.74,75.97
2021-03-11,1267.3,77.92
2021-03-12,1261.32,77.65
2021-03-15,1223.39,73.79
2021-03-16,1220.37,73.86
2021-03-17,1236.54,74.96
2021-03-18,1241.31,75.63
2021-03-19,1231.29,74.86
2021-03-22,1242.76,75.73
2021-03-23,1236.47,75.15
2021-03-24,1221.45,74.88
2021-03-25,1219.71,75.06
2021-03-26,1256.66,77.46
2021-03-29,1250.77,77.14
2021-03-30,1248.34,77.14
2021-03-31,1248.33,77.26
2021-04-01,1266.75,78.24
2021-04-02,1299.92,80.12
2021-04-06,1296.62,80.02
2021-04-07,1298.78,79.92
2021-04-08,1291.86,79.72
2021-04-09,1271.44,78.13
2021-04-12,1243.5,76.4
2021-04-13,1241.4,76.47
2021-04-14,1254.71,77.32
2021-04-15,1264.16,77.7
2021-04-16,1274.7,78.22
2021-04-19,1299.01,79.72
2021-04-20,1290.5,79.45
2021-04-21,1286.86,79.36
2021-04-22,1305.18,80.53
2021-04-23,1311.83,80.89
2021-04-26,1314.91,81.02
2021-04-27,1311.91,81.26
2021-04-28,1324.24,81.98
2021-04-29,1324.05,82.09
2021-04-30,1322.24,82.47
2021-05-06,1310.13,66.69
2021-05-07,1263.9,64.02
2021-05-10,1254.49,63.55
2021-05-11,1258.11,63.81
2021-05-12,1270.91,64.77
2021-05-13,1275.48,64.84
2021-05-14,1300.54,66.1
2021-05-17,1328.92,67.85
2021-05-18,1321.64,67.43
2021-05-19,1326.14,67.6
2021-05-20,1329.79,67.87
2021-05-21,1315.21,67.01
2021-05-24,1330.87,67.74
2021-05-25,1370.12,70.09
2021-05-26,1364.04,69.66
2021-05-27,1397.77,71.4
2021-05-28,1386.04,70.37
2021-05-31,1442.67,73.4
2021-06-01,1460.54,74.4
2021-06-02,1426.85,72.17
2021-06-03,1414.53,71.44
2021-06-04,1431.52,72.14
2021-06-07,1433.57,72.18
2021-06-08,1419.08,71.77
2021-06-09,1427.32,72.49
2021-06-10,1450.4,73.66
2021-06-11,1436.28,73.56
2021-06-15,1448.2,68.2
2021-06-16,1406.47,66.05
2021-06-17,1473.51,69.34
2021-06-18,1494.7,70.47
2021-06-21,1528.13,72.47
2021-06-22,1523.36,72.44
2021-06-23,1534.3,72.69
2021-06-24,1504.81,71.4
2021-06-25,1534.85,72.97
2021-06-28,1562.98,74.28
2021-06-29,1562.08,74.21
2021-06-30,1588.22,75.38
2021-07-01,1579.8,75.44
2021-07-02,1538.16,73.23
2021-07-05,1575.89,75.38
2021-07-06,1532.79,73.44
2021-07-07,1570.03,75.24
2021-07-08,1610.77,77.19
2021-07-09,1583.71,75.75
2021-07-12,1601.61,76.02
2021-07-13,1590.98,75.5
2021-07-14,1556.72,74.33
2021-07-15,1560.7,74.96
2021-07-16,1525.23,73.5
2021-07-19,1514.18,73.12
2021-07-20,1522.63,73.4
2021-07-21,1565.64,75.66
2021-07-22,1582.13,76.71
2021-07-23,1563.49,75.83
2021-07-26,1556.98,75.11
2021-07-27,1545.29,74.15
2021-07-28,1518.7,73.0
2021-07-29,1588.47,76.64
2021-07-30,1591.22,77.06
2021-08-02,1599.47,76.86
2021-08-03,1564.19,74.83
2021-08-04,1605.89,76.64
2021-08-05,1604.81,76.49
2021-08-06,1586.67,75.74
2021-08-09,1574.44,75.61
2021-08-10,1588.19,76.39
2021-08-11,1578.79,75.65
2021-08-12,1586.5,75.98
2021-08-13,1552.78,74.57
2021-08-16,1547.93,74.98
2021-08-17,1509.25,72.82
2021-08-18,1507.99,72.75
2021-08-19,1546.11,74.55
2021-08-20,1529.09,73.49
2021-08-23,1564.11,75.35
2021-08-24,1578.03,75.9
2021-08-25,1542.78,74.23
2021-08-26,1497.34,72.06
2021-08-27,1480.31,71.31
2021-08-30,1471.45,71.09
2021-08-31,1441.17,69.64
2021-09-01,1424.66,63.3
2021-09-02,1399.48,62.15
2021-09-03,1400.89,62.2
2021-09-06,1439.0,63.89
2021-09-07,1438.57,63.85
2021-09-08,1412.72,62.64
2021-09-09,1402.19,51.03
2021-09-10,1426.81,51.86
2021-09-13,1384.43,50.73
2021-09-14,1396.67,50.96
2021-09-15,1384.52,50.61
2021-09-16,1351.43,49.47
2021-09-17,1349.68,49.32
2021-09-22,1355.28,49.51
2021-09-23,1363.79,49.88
2021-09-24,1375.0,50.47
2021-09-27,1368.69,50.32
2021-09-28,1354.1,49.8
2021-09-29,1345.77,49.63
2021-09-30,1368.72,50.33
2021-10-08,1364.46,50.14
2021-10-11,1349.77,49.58
2021-10-12,1319.39,48.67
2021-10-13,1344.76,49.75
2021-10-14,1347.27,49.78
2021-10-15,1363.16,50.27
2021-10-18,1352.57,49.88
2021-10-19,1366.79,50.3
2021-10-20,1373.59,50.59
2021-10-21,1362.4,50.0
2021-10-22,1368.14,50.28
2021-10-25,1380.31,50.78
2021-10-26,1376.13,50.73
2021-10-27,1361.82,50.03
2021-10-28,1356.37,49.67
2021-10-29,1396.2,51.42
2021-11-01,1404.21,59.81
2021-11-02,1405.64,59.91
2021-11-03,1399.55,59.59
2021-11-04,1410.74,60.27
2021-11-05,1396.74,59.65
2021-11-08,1400.8,59.69
2021-11-09,1420.51,60.43
2021-11-10,1420.45,60.33
2021-11-11,1437.15,61.08
2021-11-12,1440.16,61.46
2021-11-15,1432.6,61.14
2021-11-16,1421.27,60.66
2021-11-17,1436.16,61.5
2021-11-18,1423.97,60.97
2021-11-19,1444.78,62.07
2021-11-22,1479.99,63.54
2021-11-23,1476.25,63.53
2021-11-24,1472.22,63.17
2021-11-25,1468.07,62.83
2021-11-26,1459.93,62.57
2021-11-29,1471.23,62.84
2021-11-30,1475.71,63.2
2021-12-01,1456.48,62.27
2021-12-02,1429.5,60.93
2021-12-03,1444.83,61.71
2021-12-06,1405.77,60.05
2021-12-07,1389.44,59.44
2021-12-08,1415.37,60.64
2021-12-09,1434.52,61.7
2021-12-10,1435.7,61.81
2021-12-13,1445.71,58.56
2021-12-14,1439.47,58.43
2021-12-15,1424.9,57.86
2021-12-16,1425.93,58.08
2021-12-17,1399.06,56.91
2021-12-20,1363.96,55.41
2021-12-21,1374.65,55.97
2021-12-22,1375.03,55.98
2021-12-23,1375.97,56.01
2021-12-24,1358.73,55.21
2021-12-27,1355.64,54.95
2021-12-28,1369.62,55.56
2021-12-29,1356.21,55.01
2021-12-30,1375.56,55.87
2021-12-31,1398.19,56.53
2022-01-04,1364.99,55.23
2022-01-05,1333.33,53.95
2022-01-06,1320.94,53.43
2022-01-07,1305.49,52.82
2022-01-10,1318.27,53.2
2022-01-11,1294.4,52.1
2022-01-12,1316.35,52.9
2022-01-13,1294.65,51.88
2022-01-14,1312.29,52.45
2022-01-17,1338.32,53.28
2022-01-18,1342.36,53.43
2022-01-19,1324.09,52.7
2022-01-20,1306.02,51.85
2022-01-21,1290.41,51.25
2022-01-24,1307.74,52.02
2022-01-25,1277.0,50.78
2022-01-26,1276.36,51.07
2022-01-27,1240.55,49.66
2022-01-28,1229.22,49.23
2022-02-07,1233.62,49.45
2022-02-08,1204.05,48.2
2022-02-09,1210.29,48.45
2022-02-10,1188.2,47.65
2022-02-11,1169.59,46.88
2022-02-14,1169.44,46.74
2022-02-15,1203.12,48.14
2022-02-16,1197.56,47.91
2022-02-17,1207.82,48.38
2022-02-18,1204.37,48.03
2022-02-21,1193.6,47.35
2022-02-22,1183.98,47.16
2022-02-23,1231.08,49.2
2022-02-24,1214.99,48.55
2022-02-25,1240.88,49.58
2022-02-28,1249.59,50.06
2022-03-01,1239.02,49.69
2022-03-02,1230.28,49.39
2022-03-03,1209.82,48.38
2022-03-04,1203.09,48.12
2022-03-07,1169.98,46.77
2022-03-08,1137.07,45.77
2022-03-09,1129.65,45.4
2022-03-10,1153.36,46.46
2022-03-11,1161.21,46.64
2022-03-14,1126.28,46.08
2022-03-15,1093.43,44.78
2022-03-16,1125.48,46.16
2022-03-17,1142.71,46.75
2022-03-18,1144.32,46.67
2022-03-21,1152.33,46.96
2022-03-22,1134.32,46.3
2022-03-23,1144.09,46.67
2022-03-24,1134.57,46.26
2022-03-25,1106.86,45.03
2022-03-28,1090.73,44.42
2022-03-29,1079.93,43.95
2022-03-30,1112.52,45.33
2022-03-31,1091.06,44.41
2022-04-01,1089.19,44.43
2022-04-06,1058.49,43.19
2022-04-07,1036.07,42.28
2022-04-08,1027.24,41.95
2022-04-11,988.76,40.23
2022-04-12,994.44,40.53
2022-04-13,964.83,39.34
2022-04-14,975.57,39.97
2022-04-15,973.36,39.78
2022-04-18,1004.61,41.03
2022-04-19,989.93,40.41
2022-04-20,973.51,39.94
2022-04-21,957.72,39.22
2022-04-22,942.07,38.77
2022-04-25,884.3,36.54
2022-04-26,868.07,36.05
2022-04-27,906.43,37.78
2022-04-28,903.06,37.32
2022-04-29,947.15,39.08
2022-05-05,956.13,33.59
2022-05-06,942.23,33.05
2022-05-09,946.72,32.98
2022-05-10,972.14,33.95
2022-05-11,1002.46,34.87
2022-05-12,1013.06,35.04
2022-05-13,1010.8,34.89
2022-05-16,996.51,34.46
2022-05-17,1010.37,35.22
2022-05-18,1014.0,35.48
2022-05-19,1036.34,36.3
2022-05-20,1045.38,36.85
2022-05-23,1046.15,37.02
2022-05-24,996.65,35.54
2022-05-25,1006.52,35.87
2022-05-26,1004.26,35.42
2022-05-27,993.7,35.09
2022-05-30,1001.54,35.54
2022-05-31,1035.32,36.82
2022-06-01,1031.58,36.11
2022-06-02,1079.85,37.67
2022-06-06,1121.54,39.17
2022-06-07,1111.4,38.78
2022-06-08,1111.67,38.77
2022-06-09,1081.17,37.77
2022-06-10,1102.85,38.32
2022-06-13,1088.38,40.39
2022-06-14,1070.54,39.69
2022-06-15,1062.71,39.27
2022-06-16,1078.95,39.97
2022-06-17,1092.09,40.4
2022-06-20,1095.33,40.47
2022-06-21,1083.02,39.9
2022-06-22,1063.69,39.34
2022-06-23,1081.84,40.03
2022-06-24,1101.48,40.61
2022-06-27,1103.4,40.56
2022-06-28,1117.28,41.14
2022-06-29,1090.68,40.18
2022-06-30,1105.67,40.92
2022-07-01,1089.03,40.34
2022-07-04,1095.09,40.71
2022-07-05,1090.93,40.61
2022-07-06,1101.75,40.82
2022-07-07,1111.67,41.16
2022-07-08,1104.02,40.43
2022-07-11,1081.16,39.66
2022-07-12,1049.24,38.49
2022-07-13,1052.79,38.62
2022-07-14,1076.81,39.53
2022-07-15,1072.26,39.27
2022-07-18,1069.33,39.2
