date,close,peg
2022-08-09,8697.03,5.71
2022-08-10,8659.57,5.68
2022-08-11,8768.39,5.74
2022-08-12,8828.28,5.77
2022-08-15,8850.53,5.75
2022-08-16,8898.71,5.76
2022-08-17,8927.11,5.78
2022-08-18,8851.03,5.73
2022-08-19,8918.11,5.78
2022-08-22,8996.34,5.8
2022-08-23,9040.35,5.79
2022-08-24,8877.97,5.76
2022-08-25,9040.22,5.85
2022-08-26,9000.3,5.81
2022-08-29,9070.91,5.81
2022-08-30,9017.48,5.79
2022-08-31,8926.18,5.82
2022-09-01,8985.71,5.75
2022-09-02,8980.53,5.73
2022-09-05,9115.43,5.8
2022-09-06,9268.5,5.85
2022-09-07,9242.44,5.82
2022-09-08,9209.21,5.82
2022-09-09,9306.12,5.88
2022-09-13,9243.35,5.87
2022-09-14,9166.68,5.84
2022-09-15,9149.68,5.87
2022-09-16,8866.12,5.74
2022-09-19,8871.17,5.76
2022-09-20,8879.4,5.72
2022-09-21,8951.13,5.74
2022-09-22,8941.2,5.76
2022-09-23,8846.99,5.75
2022-09-26,8687.03,5.66
2022-09-27,8790.21,5.67
2022-09-28,8681.95,5.65
2022-09-29,8640.85,5.63
2022-09-30,8690.34,5.68
2022-10-10,8665.41,5.7
2022-10-11,8666.56,5.68
2022-10-12,8787.91,5.72
2022-10-13,8708.01,5.66
2022-10-14,8808.35,5.68
2022-10-17,8810.84,5.67
2022-10-18,8820.49,5.65
2022-10-19,8749.86,5.62
2022-10-20,8667.31,5.6
2022-10-21,8708.32,5.62
2022-10-24,8519.88,5.52
2022-10-25,8485.35,5.51
2022-10-26,8464.27,5.46
2022-10-27,8487.01,5.44
2022-10-28,8262.69,5.4
2022-10-31,8143.4,5.27
2022-11-01,8250.76,5.28
2022-11-02,8353.2,5.3
2022-11-03,8308.22,5.27
2022-11-04,8479.96,5.36
2022-11-07,8541.33,5.38
2022-11-08,8550.42,5.37
2022-11-09,8559.73,5.37
2022-11-10,8556.58,5.38
2022-11-11,8746.79,5.49
2022-11-14,8772.16,5.49
2022-11-15,8857.21,5.53
2022-11-16,8824.82,5.51
2022-11-17,8789.94,5.49
2022-11-18,8732.25,5.46
2022-11-21,8736.92,5.45
2022-11-22,8745.89,5.52
2022-11-23,8766.57,5.57
2022-11-24,8829.42,5.57
2022-11-25,8939.46,5.69
2022-11-28,8901.56,5.62
2022-11-29,9157.27,5.75
2022-11-30,9140.18,5.74
2022-12-01,9092.91,5.7
2022-12-02,9063.72,5.66
2022-12-05,9195.68,5.78
2022-12-06,9150.03,5.77
2022-12-07,9097.16,5.72
2022-12-08,9116.37,5.74
2022-12-09,9196.41,5.76
2022-12-12,9064.85,5.52
2022-12-13,9107.23,5.55
2022-12-14,9072.69,5.54
2022-12-15,8980.51,5.49
2022-12-16,9074.64,5.55
2022-12-19,8888.25,5.46
2022-12-20,8798.64,5.41
2022-12-21,8802.51,5.42
2022-12-22,8740.52,5.41
2022-12-23,8729.51,5.41
2022-12-26,8708.01,5.38
2022-12-27,8798.6,5.45
2022-12-28,8813.21,5.46
2022-12-29,8734.48,5.42
2022-12-30,8793.51,5.46
2023-01-03,8850.5,5.46
2023-01-04,8920.35,5.52
2023-01-05,8944.62,5.52
2023-01-06,8926.06,5.52
2023-01-09,8921.06,5.52
2023-01-10,8870.52,5.48
2023-01-11,8918.45,5.53
2023-01-12,8883.98,5.52
2023-01-13,8960.22,5.57
2023-01-16,8994.7,5.57
2023-01-17,8981.13,5.56
2023-01-18,8991.41,5.55
2023-01-19,9027.72,5.56
2023-01-20,9116.3,5.59
2023-01-30,9083.78,5.56
2023-01-31,9103.87,5.56
2023-02-01,9131.89,5.57
2023-02-02,9146.77,5.56
2023-02-03,9065.72,5.52
2023-02-06,9014.76,5.5
2023-02-07,9062.85,5.52
2023-02-08,9022.43,5.51
2023-02-09,9089.07,5.54
2023-02-10,9093.19,5.53
2023-02-13,9125.57,5.53
2023-02-14,9172.55,5.54
2023-02-15,9116.18,5.51
2023-02-16,9037.96,5.49
2023-02-17,9049.46,5.49
2023-02-20,9252.1,5.59
2023-02-21,9356.43,5.63
2023-02-22,9361.99,5.61
2023-02-23,9374.65,5.62
2023-02-24,9336.57,5.59
2023-02-27,9326.84,5.58
2023-02-28,9368.21,5.6
2023-03-01,9431.66,5.64
2023-03-02,9473.65,5.66
2023-03-03,9514.61,5.72
2023-03-06,9470.06,5.68
2023-03-07,9413.47,5.71
2023-03-08,9406.08,5.7
2023-03-09,9375.99,5.68
2023-03-10,9208.7,5.59
2023-03-13,9320.19,5.67
2023-03-14,9243.08,5.65
2023-03-15,9354.8,5.71
2023-03-16,9268.04,5.7
2023-03-17,9323.25,5.74
2023-03-20,9279.24,5.73
2023-03-21,9277.86,5.69
2023-03-22,9321.65,5.73
2023-03-23,9329.38,5.75
2023-03-24,9253.31,5.69
2023-03-27,9178.21,5.62
2023-03-28,9181.51,5.65
2023-03-29,9154.94,5.64
2023-03-30,9212.33,5.7
2023-03-31,9243.09,5.69
2023-04-03,9285.03,5.69
2023-04-04,9318.28,5.76
2023-04-06,9260.15,5.75
2023-04-07,9295.78,5.75
2023-04-10,9298.48,5.77
2023-04-11,9358.16,5.8
2023-04-12,9450.92,5.86
2023-04-13,9452.68,5.87
2023-04-14,9441.57,5.87
2023-04-17,9571.45,5.99
2023-04-18,9606.81,6.03
2023-04-19,9598.56,6.01
2023-04-20,9613.91,6.02
2023-04-21,9498.34,5.96
2023-04-24,9491.29,5.96
2023-04-25,9522.14,6.01
2023-04-26,9545.78,5.98
2023-04-27,9571.34,6.03
2023-04-28,9679.28,6.05
2023-05-04,9873.93,6.38
2023-05-05,9899.09,6.43
2023-05-08,10116.4,6.72
2023-05-09,10036.94,6.7
2023-05-10,9850.06,6.48
2023-05-11,9845.14,6.44
2023-05-12,9786.53,6.4
2023-05-15,9785.5,6.43
2023-05-16,9716.94,6.41
2023-05-17,9671.65,6.38
2023-05-18,9729.85,6.46
2023-05-19,9611.65,6.37
2023-05-22,9612.22,6.38
2023-05-23,9490.84,6.26
2023-05-24,9355.5,6.11
2023-05-25,9312.87,6.1
2023-05-26,9393.47,6.14
2023-05-29,9469.85,6.2
2023-05-30,9466.81,6.16
2023-05-31,9392.01,6.12
2023-06-01,9359.93,6.1
2023-06-02,9417.74,6.14
2023-06-05,9467.03,6.21
2023-06-06,9398.0,6.2
2023-06-07,9470.63,6.25
2023-06-08,9570.11,6.36
2023-06-09,9552.85,6.34
2023-06-12,9499.69,6.26
2023-06-13,9483.57,6.27
2023-06-14,9442.21,6.2
2023-06-15,9464.13,6.22
2023-06-16,9437.87,6.18
2023-06-19,9326.49,6.1
2023-06-20,9257.25,6.06
2023-06-21,9188.53,6.04
2023-06-26,9073.51,5.95
2023-06-27,9231.37,6.04
2023-06-28,9292.61,6.07
2023-06-29,9277.87,6.03
2023-06-30,9311.95,6.05
2023-07-03,9410.0,6.14
2023-07-04,9363.76,6.09
2023-07-05,9352.21,6.06
2023-07-06,9314.49,6.02
2023-07-07,9350.67,6.03
2023-07-10,9389.04,6.02
2023-07-11,9407.37,6.05
2023-07-12,9359.42,6.02
2023-07-13,9459.92,6.1
2023-07-14,9475.3,6.1
2023-07-17,9423.95,5.95
2023-07-18,9424.21,5.88
2023-07-19,9475.12,5.9
2023-07-20,9442.73,5.88
2023-07-21,9449.1,5.85
2023-07-24,9452.13,5.85
2023-07-25,9610.09,5.97
2023-07-26,9632.64,5.96
2023-07-27,9642.86,5.99
2023-07-28,9819.6,6.1
2023-07-31,9895.16,6.12
2023-08-01,9904.17,6.13
2023-08-02,9813.87,6.02
2023-08-03,9867.84,6.07
2023-08-04,9840.57,6.07
2023-08-07,9754.7,6.03
2023-08-08,9741.1,6.02
2023-08-09,9701.37,6.02
2023-08-10,9740.98,6.03
2023-08-11,9590.81,5.92
2023-08-14,9585.75,5.88
2023-08-15,9649.34,5.95
2023-08-16,9644.58,5.94
2023-08-17,9645.46,5.93
2023-08-18,9603.55,5.92
2023-08-21,9503.45,5.84
2023-08-22,9579.32,5.92
2023-08-23,9552.75,5.92
2023-08-24,9507.56,5.87
2023-08-25,9530.06,5.91
2023-08-28,9661.7,6.0
2023-08-29,9680.16,5.94
2023-08-30,9609.79,5.91
2023-08-31,9510.7,5.89
2023-09-01,9612.21,5.92
2023-09-04,9761.13,6.0
2023-09-05,9685.22,5.97
2023-09-06,9683.22,5.98
2023-09-07,9632.3,5.97
2023-09-08,9569.32,5.94
2023-09-11,9641.88,5.95
2023-09-12,9629.45,5.95
2023-09-13,9656.2,5.97
2023-09-14,9752.91,6.04
2023-09-15,9736.65,5.98
2023-09-18,9747.45,5.98
2023-09-19,9812.67,6.04
2023-09-20,9825.73,6.07
2023-09-21,9761.72,6.03
2023-09-22,9803.5,6.08
2023-09-25,9783.92,6.07
2023-09-26,9739.7,6.05
2023-09-27,9706.14,6.0
2023-09-28,9707.86,6.02
2023-10-09,9673.23,6.01
2023-10-10,9577.14,5.97
2023-10-11,9547.35,5.97
2023-10-12,9643.99,6.05
2023-10-13,9631.84,6.08
2023-10-16,9652.52,6.08
2023-10-17,9671.29,6.1
2023-10-18,9582.14,6.09
2023-10-19,9422.39,5.97
2023-10-20,9373.8,5.93
2023-10-23,9248.27,5.9
2023-10-24,9318.63,5.87
2023-10-25,9401.72,5.87
2023-10-26,9446.85,5.92
2023-10-27,9484.99,5.92
2023-10-30,9387.54,5.84
2023-10-31,9404.89,5.87
2023-11-01,9393.69,5.88
2023-11-02,9409.22,5.91
2023-11-03,9365.18,5.88
2023-11-06,9350.32,5.84
2023-11-07,9345.81,5.85
2023-11-08,9335.42,5.83
2023-11-09,9396.68,5.89
2023-11-10,9362.65,5.88
2023-11-13,9379.39,5.87
2023-11-14,9366.5,5.87
2023-11-15,9412.12,5.89
2023-11-16,9400.39,5.89
2023-11-17,9376.1,5.87
2023-11-20,9399.75,5.89
2023-11-21,9434.58,5.91
2023-11-22,9405.93,5.89
2023-11-23,9479.59,5.91
2023-11-24,9485.47,5.92
2023-11-27,9460.41,5.9
2023-11-28,9459.7,5.9
2023-11-29,9393.37,5.87
2023-11-30,9424.39,5.9
2023-12-01,9452.64,5.91
2023-12-04,9453.61,5.9
2023-12-05,9331.63,5.83
2023-12-06,9327.63,5.79
2023-12-07,9341.74,5.8
2023-12-08,9339.98,5.8
